id,category,severity,severity_ordinal,priority_score,hours_since_submission,hours_since_status_change,related_count,assigned,department_id,sla_deadline_hours,is_safety_risk,breach
30,garbage,MEDIUM,2,31,122.03,41.02,0,0,2,72,0,1
31,water_leakage,MEDIUM,2,42,13.67,3.56,1,1,5,24,0,1
32,other,MEDIUM,2,63,59.26,55.05,3,0,7,72,0,0
33,pothole,LOW,1,42,18.42,4.88,3,1,1,48,0,1
34,garbage,MEDIUM,2,78,70.4,21.3,5,1,2,72,0,1
35,water_leakage,LOW,1,16,28.66,22.53,0,0,5,24,0,1
36,garbage,LOW,1,19,78.39,51.67,0,1,2,72,0,1
37,drainage,HIGH,3,72,73.1,4.43,0,0,3,48,1,1
38,drainage,LOW,1,17,38.17,26.94,0,0,3,48,0,1
39,drainage,MEDIUM,2,30,12.8,1.63,0,1,3,48,0,0
40,garbage,MEDIUM,2,39,86.43,25.46,0,1,2,72,0,0
41,garbage,HIGH,3,66,126.52,58.38,2,0,2,72,0,1
42,streetlight,HIGH,3,70,37.33,19.46,0,1,4,24,1,1
43,garbage,LOW,1,34,119.03,25.18,2,1,2,72,0,1
44,garbage,MEDIUM,2,46,36.11,2.51,1,1,2,72,0,1
45,water_leakage,LOW,1,19,1.19,1.05,0,1,5,24,0,1
46,water_leakage,MEDIUM,2,44,31.47,7.53,1,1,5,24,0,0
47,garbage,LOW,1,49,91.86,0.12,3,1,2,72,0,1
48,streetlight,LOW,1,19,28.7,7.92,0,1,4,24,0,1
49,other,MEDIUM,2,36,52.15,15.42,0,1,7,72,0,0
50,garbage,MEDIUM,2,36,39.0,21.37,0,0,2,72,0,0
51,water_leakage,MEDIUM,2,32,20.09,8.88,0,1,5,24,0,0
52,drainage,MEDIUM,2,56,54.69,16.09,2,1,3,48,0,1
53,garbage,LOW,1,30,5.99,5.89,1,1,2,72,0,0
54,other,MEDIUM,2,30,93.1,27.65,0,0,7,72,0,1
55,pothole,HIGH,3,79,18.91,15.2,1,1,1,48,1,1
56,streetlight,MEDIUM,2,71,42.68,14.29,4,1,4,24,0,1
57,water_leakage,MEDIUM,2,37,39.18,10.7,0,1,5,24,0,1
58,garbage,HIGH,3,74,35.94,27.95,0,0,2,72,1,1
59,drainage,LOW,1,18,46.67,6.46,0,1,3,48,0,1
60,streetlight,LOW,1,40,20.13,1.25,2,1,4,24,0,0
61,pothole,HIGH,3,51,66.15,18.26,0,1,1,48,0,1
62,other,MEDIUM,2,30,78.18,15.88,0,1,7,72,0,1
63,other,MEDIUM,2,39,52.4,8.65,0,0,7,72,0,1
64,streetlight,MEDIUM,2,32,28.64,2.01,0,1,4,24,0,1
65,streetlight,LOW,1,37,19.64,6.63,2,0,4,24,0,1
66,pothole,MEDIUM,2,63,64.72,2.5,4,0,1,48,0,1
67,other,LOW,1,34,4.02,0.99,2,1,7,72,0,1
68,other,LOW,1,24,122.83,33.48,0,1,7,72,0,0
69,other,MEDIUM,2,34,100.8,11.79,0,1,7,72,0,1
70,streetlight,MEDIUM,2,39,30.89,1.82,1,1,4,24,0,1
71,drainage,HIGH,3,100,51.88,5.81,5,1,3,48,1,1
72,pothole,MEDIUM,2,51,29.48,25.05,2,0,1,48,0,1
73,streetlight,MEDIUM,2,70,18.81,13.8,4,0,4,24,0,1
74,streetlight,MEDIUM,2,47,31.58,6.44,2,1,4,24,0,1
75,streetlight,LOW,1,20,20.08,12.25,0,0,4,24,0,1
76,garbage,MEDIUM,2,38,33.48,9.36,0,1,2,72,0,1
77,garbage,LOW,1,33,93.32,35.18,1,1,2,72,0,0
78,streetlight,HIGH,3,85,4.02,0.89,1,1,4,24,1,1
79,drainage,MEDIUM,2,42,64.45,15.88,1,0,3,48,0,1
80,other,LOW,1,26,15.49,8.3,1,0,7,72,0,0
81,drainage,MEDIUM,2,33,84.38,25.18,0,0,3,48,0,1
82,drainage,LOW,1,23,1.22,0.65,0,1,3,48,0,0
83,garbage,MEDIUM,2,37,97.56,7.39,0,0,2,72,0,1
84,garbage,CRITICAL,4,94,32.72,28.2,0,0,2,72,1,1
85,pothole,LOW,1,23,70.08,45.56,0,0,1,48,0,1
86,water_leakage,MEDIUM,2,34,26.72,18.62,0,1,5,24,0,0
87,streetlight,LOW,1,26,26.83,14.63,1,1,4,24,0,0
88,drainage,MEDIUM,2,37,13.57,2.36,0,0,3,48,0,0
89,streetlight,LOW,1,33,10.0,7.07,1,1,4,24,0,1
90,drainage,HIGH,3,100,54.01,31.74,3,1,3,48,1,1
91,drainage,HIGH,3,74,6.17,1.02,0,1,3,48,1,1
92,streetlight,MEDIUM,2,31,30.23,22.62,0,1,4,24,0,1
93,streetlight,MEDIUM,2,39,26.08,0.62,0,1,4,24,0,1
94,pothole,CRITICAL,4,95,58.09,12.94,0,1,1,48,1,1
95,drainage,LOW,1,20,50.57,30.47,0,0,3,48,0,1
96,drainage,MEDIUM,2,44,74.11,15.83,1,0,3,48,0,1
97,water_leakage,LOW,1,23,3.8,0.96,0,1,5,24,0,0
98,pothole,MEDIUM,2,37,46.88,19.37,0,1,1,48,0,1
99,pothole,LOW,1,16,47.45,44.02,0,1,1,48,0,1
100,other,MEDIUM,2,31,31.01,4.91,0,1,7,72,0,1
101,pothole,MEDIUM,2,38,10.15,8.45,0,1,1,48,0,0
102,streetlight,HIGH,3,53,42.35,5.85,0,1,4,24,0,1
103,garbage,HIGH,3,70,35.8,28.28,0,1,2,72,1,1
104,drainage,HIGH,3,91,50.11,31.68,2,1,3,48,1,1
105,water_leakage,MEDIUM,2,76,40.3,20.87,5,0,5,24,0,1
106,streetlight,LOW,1,41,32.17,16.93,2,1,4,24,0,0
107,other,CRITICAL,4,67,64.19,2.38,0,1,7,72,0,1
108,streetlight,LOW,1,51,6.23,5.42,4,0,4,24,0,1
109,other,MEDIUM,2,43,10.41,3.42,1,1,7,72,0,0
110,streetlight,HIGH,3,54,1.55,0.11,1,1,4,24,0,1
111,pothole,HIGH,3,75,60.82,4.82,0,0,1,48,1,1
112,drainage,MEDIUM,2,32,37.21,9.09,0,1,3,48,0,1
113,pothole,MEDIUM,2,33,33.05,22.58,0,1,1,48,0,1
114,drainage,MEDIUM,2,38,57.62,43.15,0,0,3,48,0,1
115,streetlight,CRITICAL,4,100,42.67,7.18,4,1,4,24,1,1
116,streetlight,HIGH,3,45,4.61,1.76,0,0,4,24,0,0
117,other,MEDIUM,2,47,1.05,0.91,1,1,7,72,0,0
118,drainage,HIGH,3,80,19.88,15.94,0,0,3,48,1,1
119,garbage,MEDIUM,2,39,117.08,46.54,0,1,2,72,0,1
120,garbage,LOW,1,23,38.25,28.59,0,0,2,72,0,0
121,drainage,MEDIUM,2,37,78.93,39.86,0,1,3,48,0,0
122,drainage,MEDIUM,2,65,29.26,3.37,4,0,3,48,0,1
123,other,MEDIUM,2,36,51.5,43.56,0,0,7,72,0,1
124,water_leakage,LOW,1,25,15.92,11.93,0,1,5,24,0,0
125,pothole,MEDIUM,2,63,40.74,25.24,3,1,1,48,0,1
126,pothole,MEDIUM,2,38,40.11,28.12,1,0,1,48,0,0
127,drainage,CRITICAL,4,93,10.03,2.36,0,1,3,48,1,1
128,other,MEDIUM,2,50,114.75,47.15,2,1,7,72,0,1
129,drainage,LOW,1,20,38.42,9.07,0,1,3,48,0,0
130,other,MEDIUM,2,37,51.6,9.79,0,1,7,72,0,1
131,garbage,MEDIUM,2,40,77.39,1.54,1,0,2,72,0,1
132,garbage,LOW,1,20,99.16,14.92,0,1,2,72,0,0
133,water_leakage,LOW,1,17,37.08,3.47,0,0,5,24,0,1
134,pothole,LOW,1,19,30.95,24.4,0,0,1,48,0,1
135,other,MEDIUM,2,39,14.73,0.94,0,1,7,72,0,1
136,water_leakage,LOW,1,43,26.57,17.45,3,1,5,24,0,1
137,pothole,LOW,1,30,41.38,16.62,1,1,1,48,0,1
138,pothole,LOW,1,28,12.82,1.62,1,1,1,48,0,0
139,water_leakage,MEDIUM,2,40,19.6,11.87,0,1,5,24,0,0
140,water_leakage,MEDIUM,2,37,9.29,4.19,0,1,5,24,0,1
141,other,LOW,1,22,55.31,36.79,0,0,7,72,0,1
142,pothole,LOW,1,40,8.34,6.16,2,1,1,48,0,0
143,water_leakage,LOW,1,23,5.28,1.87,1,1,5,24,0,0
144,water_leakage,LOW,1,16,4.48,2.27,0,1,5,24,0,0
145,water_leakage,MEDIUM,2,55,32.94,13.78,2,1,5,24,0,1
146,other,MEDIUM,2,42,78.93,47.36,1,0,7,72,0,1
147,drainage,HIGH,3,80,30.33,5.5,0,1,3,48,1,0
148,pothole,MEDIUM,2,35,18.59,7.8,0,1,1,48,0,0
149,water_leakage,MEDIUM,2,39,38.16,3.73,1,0,5,24,0,1
150,other,MEDIUM,2,35,78.68,29.82,0,1,7,72,0,1
151,drainage,MEDIUM,2,39,51.25,25.29,0,0,3,48,0,1
152,garbage,LOW,1,15,27.38,3.76,0,1,2,72,0,0
153,streetlight,LOW,1,20,16.42,11.56,0,1,4,24,0,1
154,other,LOW,1,40,2.43,2.24,2,1,7,72,0,0
155,other,MEDIUM,2,39,14.93,0.31,0,1,7,72,0,0
156,other,HIGH,3,76,11.42,9.65,0,1,7,72,1,0
157,other,LOW,1,23,43.17,7.26,0,0,7,72,0,1
158,drainage,MEDIUM,2,34,82.79,30.98,0,0,3,48,0,1
159,water_leakage,LOW,1,54,32.8,1.81,4,1,5,24,0,0
160,water_leakage,MEDIUM,2,48,39.92,13.55,1,1,5,24,0,1
161,streetlight,LOW,1,23,19.1,5.78,0,0,4,24,0,1
162,streetlight,MEDIUM,2,31,2.46,2.04,0,1,4,24,0,0
163,water_leakage,MEDIUM,2,47,25.07,22.9,1,0,5,24,0,1
164,drainage,MEDIUM,2,35,43.32,41.49,0,1,3,48,0,0
165,pothole,MEDIUM,2,38,14.91,3.69,0,1,1,48,0,0
166,drainage,MEDIUM,2,40,24.44,9.99,0,1,3,48,0,0
167,pothole,LOW,1,24,48.21,18.56,0,1,1,48,0,0
168,drainage,LOW,1,25,57.34,44.0,0,1,3,48,0,1
169,water_leakage,MEDIUM,2,40,3.66,2.05,1,1,5,24,0,0
170,other,CRITICAL,4,97,118.25,6.73,1,1,7,72,1,1
171,garbage,LOW,1,59,99.29,13.82,5,0,2,72,0,1
172,pothole,MEDIUM,2,39,46.64,34.45,0,1,1,48,0,1
173,streetlight,LOW,1,30,7.81,5.41,1,1,4,24,0,1
174,drainage,MEDIUM,2,37,20.52,9.12,0,1,3,48,0,1
175,garbage,LOW,1,40,104.8,33.77,2,1,2,72,0,0
176,streetlight,HIGH,3,79,33.61,12.07,0,0,4,24,1,1
177,drainage,LOW,1,47,41.52,15.41,3,1,3,48,0,0
178,drainage,LOW,1,16,13.85,6.22,0,1,3,48,0,0
179,garbage,HIGH,3,76,114.65,66.99,0,1,2,72,1,0
180,drainage,LOW,1,25,27.53,2.73,1,1,3,48,0,1
181,drainage,HIGH,3,54,40.82,33.93,1,1,3,48,0,1
182,garbage,HIGH,3,74,71.13,51.72,0,0,2,72,1,1
183,garbage,MEDIUM,2,39,102.89,32.91,0,1,2,72,0,1
184,other,MEDIUM,2,33,31.36,4.5,0,1,7,72,0,0
185,garbage,MEDIUM,2,38,11.1,10.81,0,1,2,72,0,0
186,water_leakage,MEDIUM,2,42,16.87,7.93,1,1,5,24,0,0
187,drainage,HIGH,3,58,29.79,21.83,1,1,3,48,0,1
188,drainage,MEDIUM,2,45,70.29,8.4,1,1,3,48,0,1
189,garbage,LOW,1,18,100.59,32.95,0,0,2,72,0,0
190,drainage,CRITICAL,4,63,44.53,44.04,0,0,3,48,0,1
191,pothole,HIGH,3,51,28.68,3.57,0,1,1,48,0,1
192,garbage,MEDIUM,2,36,64.48,59.6,0,1,2,72,0,1
193,water_leakage,CRITICAL,4,92,7.8,2.29,0,1,5,24,1,1
194,streetlight,LOW,1,32,19.18,8.57,1,1,4,24,0,0
195,drainage,MEDIUM,2,46,68.38,2.75,1,1,3,48,0,0
196,other,LOW,1,25,4.04,3.43,1,1,7,72,0,1
197,other,MEDIUM,2,43,49.62,28.15,1,1,7,72,0,1
198,pothole,MEDIUM,2,39,45.75,18.21,1,0,1,48,0,1
199,garbage,MEDIUM,2,37,50.15,28.17,0,0,2,72,0,1
200,water_leakage,LOW,1,22,39.59,11.79,0,1,5,24,0,1
201,other,MEDIUM,2,51,11.38,7.76,2,1,7,72,0,0
202,water_leakage,MEDIUM,2,48,38.51,20.43,1,1,5,24,0,1
203,drainage,MEDIUM,2,30,10.49,2.11,0,1,3,48,0,1
204,water_leakage,MEDIUM,2,42,34.72,13.24,1,0,5,24,0,1
205,other,MEDIUM,2,51,68.13,52.4,2,0,7,72,0,1
206,streetlight,MEDIUM,2,55,22.35,2.87,2,1,4,24,0,1
207,garbage,MEDIUM,2,32,118.03,3.99,0,0,2,72,0,1
208,other,LOW,1,18,122.79,37.36,0,0,7,72,0,1
209,water_leakage,LOW,1,24,27.0,14.75,0,1,5,24,0,0
210,garbage,LOW,1,15,80.93,64.94,0,1,2,72,0,0
211,pothole,LOW,1,24,81.95,37.01,0,0,1,48,0,1
212,other,LOW,1,26,115.21,39.28,1,1,7,72,0,0
213,other,MEDIUM,2,37,58.78,40.48,0,1,7,72,0,1
214,water_leakage,LOW,1,61,37.22,7.66,5,1,5,24,0,1
215,drainage,MEDIUM,2,32,9.17,2.22,0,1,3,48,0,1
216,drainage,CRITICAL,4,100,74.66,20.07,4,1,3,48,0,1
217,garbage,HIGH,3,76,64.58,33.24,0,1,2,72,1,1
218,garbage,LOW,1,25,45.74,2.31,0,1,2,72,0,0
219,drainage,MEDIUM,2,52,73.2,20.68,2,1,3,48,0,1
220,streetlight,LOW,1,22,24.27,8.7,0,1,4,24,0,0
221,drainage,HIGH,3,75,53.85,29.33,0,0,3,48,1,1
222,drainage,HIGH,3,75,17.2,8.76,0,0,3,48,1,1
223,water_leakage,MEDIUM,2,32,26.19,12.37,0,1,5,24,0,1
224,water_leakage,MEDIUM,2,55,12.93,4.35,2,1,5,24,0,1
225,pothole,MEDIUM,2,40,58.22,47.04,0,1,1,48,0,1
226,streetlight,LOW,1,15,28.32,23.33,0,0,4,24,0,1
227,garbage,MEDIUM,2,33,93.47,55.77,0,1,2,72,0,1
228,other,LOW,1,21,2.45,0.77,0,1,7,72,0,0
229,water_leakage,HIGH,3,75,37.71,17.66,0,0,5,24,1,0
230,streetlight,MEDIUM,2,59,13.55,2.35,3,1,4,24,0,0
231,other,MEDIUM,2,34,104.15,19.03,0,1,7,72,0,1
232,garbage,CRITICAL,4,100,127.3,55.52,1,1,2,72,1,1
233,other,LOW,1,20,15.79,10.69,0,1,7,72,0,0
234,garbage,LOW,1,19,37.28,26.62,0,1,2,72,0,0
235,garbage,LOW,1,32,69.8,65.12,1,0,2,72,0,1
236,garbage,LOW,1,29,86.81,38.23,1,0,2,72,0,1
237,streetlight,LOW,1,21,33.3,0.12,0,1,4,24,0,0
238,streetlight,MEDIUM,2,31,8.62,8.31,0,1,4,24,0,0
239,garbage,MEDIUM,2,56,93.72,67.44,3,0,2,72,0,1
240,pothole,CRITICAL,4,84,34.3,16.99,3,1,1,48,0,1
241,water_leakage,MEDIUM,2,38,40.11,8.04,0,1,5,24,0,1
242,garbage,HIGH,3,74,60.66,11.7,0,0,2,72,1,1
243,pothole,MEDIUM,2,48,68.32,27.25,1,0,1,48,0,1
244,streetlight,MEDIUM,2,35,3.75,2.51,0,0,4,24,0,0
245,pothole,LOW,1,56,20.35,15.34,4,1,1,48,0,1
246,other,MEDIUM,2,40,30.62,20.45,0,0,7,72,0,1
247,other,HIGH,3,96,89.46,45.99,3,1,7,72,1,1
248,streetlight,MEDIUM,2,38,26.17,9.98,0,1,4,24,0,0
249,garbage,HIGH,3,83,88.17,42.9,1,1,2,72,1,1
250,water_leakage,LOW,1,17,35.8,21.67,0,1,5,24,0,1
251,water_leakage,MEDIUM,2,37,29.39,17.21,0,1,5,24,0,0
252,streetlight,LOW,1,19,17.95,10.12,0,1,4,24,0,0
253,streetlight,LOW,1,16,0.13,0.03,0,1,4,24,0,0
254,pothole,CRITICAL,4,70,5.96,5.57,0,1,1,48,0,0
255,other,CRITICAL,4,86,48.53,43.26,0,1,7,72,1,1
256,other,HIGH,3,72,17.24,14.83,0,1,7,72,1,1
257,garbage,HIGH,3,76,98.0,70.45,0,1,2,72,1,1
258,garbage,MEDIUM,2,46,20.1,3.79,2,1,2,72,0,0
259,streetlight,MEDIUM,2,39,40.45,21.34,0,0,4,24,0,1
260,water_leakage,MEDIUM,2,38,37.68,5.87,0,1,5,24,0,1
261,pothole,LOW,1,48,85.84,11.24,3,1,1,48,0,1
262,other,HIGH,3,100,30.7,26.9,5,1,7,72,1,1
263,water_leakage,HIGH,3,55,39.38,15.02,0,1,5,24,0,1
264,water_leakage,LOW,1,22,17.99,2.68,0,1,5,24,0,1
265,garbage,LOW,1,45,91.7,58.02,3,1,2,72,0,1
266,garbage,MEDIUM,2,35,33.05,10.91,0,1,2,72,0,1
267,other,HIGH,3,87,6.68,2.52,1,0,7,72,1,1
268,water_leakage,LOW,1,18,9.02,8.19,0,1,5,24,0,0
269,other,LOW,1,18,129.54,34.48,0,1,7,72,0,1
270,garbage,MEDIUM,2,34,100.51,27.41,0,1,2,72,0,1
271,streetlight,MEDIUM,2,41,34.68,17.34,1,1,4,24,0,1
272,streetlight,LOW,1,24,37.33,17.79,0,1,4,24,0,0
273,streetlight,LOW,1,23,8.48,1.95,0,0,4,24,0,0
274,other,LOW,1,30,98.93,35.18,1,1,7,72,0,1
275,drainage,LOW,1,49,62.24,23.44,3,1,3,48,0,0
276,water_leakage,LOW,1,29,36.58,22.68,1,1,5,24,0,1
277,other,LOW,1,24,91.65,0.66,0,1,7,72,0,0
278,water_leakage,HIGH,3,74,28.48,0.38,0,1,5,24,1,1
279,drainage,LOW,1,32,70.26,32.35,2,1,3,48,0,0
280,water_leakage,LOW,1,37,8.29,4.37,2,0,5,24,0,1
281,streetlight,MEDIUM,2,31,10.51,7.33,0,1,4,24,0,0
282,other,HIGH,3,72,12.12,4.6,0,0,7,72,1,1
283,streetlight,MEDIUM,2,62,14.31,13.99,4,1,4,24,0,1
284,other,HIGH,3,54,61.62,2.87,0,1,7,72,0,1
285,garbage,HIGH,3,51,40.76,39.19,0,1,2,72,0,0
286,drainage,LOW,1,20,20.78,17.34,0,1,3,48,0,0
287,other,LOW,1,15,128.11,52.14,0,1,7,72,0,1
288,garbage,HIGH,3,77,44.14,33.94,4,1,2,72,0,1
289,streetlight,MEDIUM,2,40,15.37,14.47,0,1,4,24,0,1
290,water_leakage,LOW,1,25,10.65,0.78,0,1,5,24,0,1
291,streetlight,LOW,1,19,4.6,0.02,0,1,4,24,0,1
292,pothole,LOW,1,20,38.78,21.51,0,0,1,48,0,1
293,water_leakage,MEDIUM,2,31,14.02,5.4,0,1,5,24,0,0
294,water_leakage,HIGH,3,74,42.26,13.73,0,1,5,24,1,1
295,garbage,LOW,1,19,56.33,23.72,0,0,2,72,0,0
296,other,MEDIUM,2,36,76.96,14.08,0,1,7,72,0,1
297,water_leakage,MEDIUM,2,40,37.25,10.57,0,1,5,24,0,0
298,garbage,LOW,1,21,78.18,50.06,0,0,2,72,0,0
299,drainage,MEDIUM,2,42,54.68,46.45,1,1,3,48,0,0
300,streetlight,MEDIUM,2,78,40.27,4.8,5,0,4,24,0,1
301,other,MEDIUM,2,36,91.8,31.57,0,1,7,72,0,1
302,garbage,MEDIUM,2,39,31.37,20.66,1,1,2,72,0,1
303,water_leakage,MEDIUM,2,62,17.31,8.77,3,1,5,24,0,1
304,drainage,MEDIUM,2,57,70.18,28.5,3,0,3,48,0,1
305,drainage,LOW,1,28,52.94,27.03,1,1,3,48,0,0
306,streetlight,LOW,1,32,4.26,0.95,1,1,4,24,0,1
307,drainage,MEDIUM,2,30,66.73,28.25,0,1,3,48,0,1
308,drainage,MEDIUM,2,58,83.09,5.57,3,0,3,48,0,1
309,garbage,MEDIUM,2,39,45.14,4.41,1,1,2,72,0,1
310,other,LOW,1,26,110.05,46.65,1,0,7,72,0,1
311,water_leakage,LOW,1,17,24.19,23.0,0,1,5,24,0,1
312,other,MEDIUM,2,36,3.78,2.32,0,1,7,72,0,1
313,garbage,LOW,1,23,97.5,58.23,0,0,2,72,0,1
314,drainage,LOW,1,20,9.85,6.6,0,1,3,48,0,0
315,water_leakage,MEDIUM,2,40,4.93,1.74,0,0,5,24,0,0
316,drainage,HIGH,3,75,50.99,32.26,0,0,3,48,1,1
317,water_leakage,MEDIUM,2,38,25.77,13.8,0,1,5,24,0,0
318,other,CRITICAL,4,69,22.45,3.75,0,0,7,72,0,1
319,drainage,CRITICAL,4,66,41.87,8.17,0,1,3,48,0,1
320,streetlight,MEDIUM,2,33,19.17,3.21,0,1,4,24,0,1
321,drainage,LOW,1,22,24.94,19.47,0,1,3,48,0,0
322,pothole,MEDIUM,2,70,23.15,12.57,5,1,1,48,0,0
323,streetlight,MEDIUM,2,50,42.76,2.46,2,1,4,24,0,0
324,pothole,MEDIUM,2,33,30.12,24.6,0,1,1,48,0,1
325,other,MEDIUM,2,40,45.44,32.3,1,0,7,72,0,1
326,garbage,HIGH,3,49,73.88,38.32,0,0,2,72,0,1
327,drainage,CRITICAL,4,82,44.45,40.01,2,0,3,48,0,1
328,drainage,HIGH,3,55,10.96,9.49,0,1,3,48,0,1
329,garbage,MEDIUM,2,31,34.83,14.43,0,1,2,72,0,1
330,other,LOW,1,47,121.35,26.57,4,1,7,72,0,0
331,other,LOW,1,31,125.99,45.71,1,1,7,72,0,1
332,streetlight,HIGH,3,77,21.37,6.9,0,1,4,24,1,1
333,other,HIGH,3,63,5.95,3.73,2,0,7,72,0,1
334,pothole,CRITICAL,4,100,36.96,36.8,3,1,1,48,1,1
335,drainage,LOW,1,19,32.13,29.04,0,1,3,48,0,0
336,garbage,MEDIUM,2,39,11.82,1.13,0,0,2,72,0,1
337,other,MEDIUM,2,32,1.04,0.36,0,1,7,72,0,0
338,garbage,MEDIUM,2,32,94.71,7.37,0,1,2,72,0,1
339,garbage,MEDIUM,2,32,87.76,4.93,0,1,2,72,0,1
340,other,LOW,1,26,96.98,66.23,1,1,7,72,0,1
341,pothole,LOW,1,17,10.64,7.77,0,1,1,48,0,0
342,other,LOW,1,23,71.72,43.03,1,1,7,72,0,0
343,other,HIGH,3,48,26.63,16.16,0,1,7,72,0,1
344,pothole,LOW,1,36,55.13,3.41,2,0,1,48,0,0
345,garbage,MEDIUM,2,37,108.73,30.3,0,0,2,72,0,0
346,pothole,LOW,1,21,5.83,1.53,0,0,1,48,0,0
347,other,MEDIUM,2,38,99.42,30.5,0,1,7,72,0,1
348,drainage,LOW,1,52,6.83,6.29,4,0,3,48,0,1
349,other,HIGH,3,48,84.22,46.31,0,1,7,72,0,1
350,pothole,HIGH,3,47,10.02,6.14,0,1,1,48,0,1
351,other,LOW,1,19,1.47,0.73,0,1,7,72,0,0
352,garbage,MEDIUM,2,35,113.2,52.77,0,1,2,72,0,0
353,drainage,MEDIUM,2,46,22.72,22.15,1,1,3,48,0,1
354,streetlight,HIGH,3,54,7.21,1.13,1,1,4,24,0,1
355,water_leakage,LOW,1,17,37.1,0.29,0,1,5,24,0,1
356,pothole,MEDIUM,2,36,78.97,35.55,0,1,1,48,0,0
357,drainage,LOW,1,17,6.73,2.51,0,1,3,48,0,0
358,water_leakage,CRITICAL,4,65,41.22,1.65,0,0,5,24,0,1
359,streetlight,LOW,1,22,8.67,4.89,0,1,4,24,0,0
360,streetlight,CRITICAL,4,91,33.52,17.58,0,1,4,24,1,1
361,water_leakage,LOW,1,57,36.27,21.05,4,0,5,24,0,1
362,other,MEDIUM,2,30,13.47,7.14,0,1,7,72,0,0
363,garbage,MEDIUM,2,51,12.06,11.11,2,1,2,72,0,0
364,other,LOW,1,40,12.39,1.65,2,0,7,72,0,1
365,other,CRITICAL,4,65,30.69,8.01,0,1,7,72,0,1
366,drainage,LOW,1,24,81.52,6.53,1,0,3,48,0,1
367,streetlight,LOW,1,30,5.22,1.87,1,1,4,24,0,0
368,pothole,LOW,1,26,69.78,14.6,1,1,1,48,0,0
369,drainage,LOW,1,19,61.44,46.48,0,0,3,48,0,1
370,garbage,LOW,1,30,52.41,23.7,1,0,2,72,0,1
371,garbage,LOW,1,21,7.99,6.24,0,0,2,72,0,1
372,other,CRITICAL,4,87,10.89,6.38,3,0,7,72,0,1
373,streetlight,HIGH,3,61,3.97,3.37,2,0,4,24,0,1
374,water_leakage,MEDIUM,2,35,31.3,11.91,0,1,5,24,0,1
375,garbage,LOW,1,33,57.8,8.59,1,1,2,72,0,1
376,streetlight,HIGH,3,53,20.69,1.82,0,1,4,24,0,1
377,water_leakage,HIGH,3,79,42.74,18.77,0,1,5,24,1,1
378,streetlight,LOW,1,19,1.13,0.67,0,1,4,24,0,1
379,streetlight,MEDIUM,2,72,33.13,23.99,4,0,4,24,0,1
380,water_leakage,HIGH,3,91,39.63,1.34,5,0,5,24,0,1
381,garbage,LOW,1,23,76.79,58.05,1,1,2,72,0,0
382,drainage,CRITICAL,4,67,48.7,27.03,0,1,3,48,0,1
383,garbage,MEDIUM,2,30,11.7,2.72,0,1,2,72,0,1
384,water_leakage,LOW,1,44,5.64,4.04,3,1,5,24,0,1
385,garbage,MEDIUM,2,47,118.87,55.75,2,1,2,72,0,1
386,other,MEDIUM,2,36,13.09,3.95,0,0,7,72,0,0
